ngram,freq
de plus en plus,3236820
je ne sais pas,1999373
je ne suis pas,1825030
pour la première fois,1521249
dans la mesure où,1031656
je ne peux pas,1030781
il y a des,958778
un coup d' œil,952758
dans le cadre de,943785
de l' autre côté,932205
je ne veux pas,928387
à la fin de,898756
en ce qui concerne,891002
il y a un,874771
ce que l' on,859782
la fin de la,809158
il y a une,809157
il ne faut pas,764255
à la fin du,745206
que l ' on,739297
tout à l' heure,729265
ce qui se passe,694480
du point de vue,647735
quoi que ce soit,640311
de temps en temps,639982
la mise en place,631695
à l' intérieur de,628942
un certain nombre de,627014
la mise en œuvre,606447
une fois de plus,596005
on ne peut pas,592394
droits de l' homme,570379
Copyright Arvensa Editions Page,563507
à l' égard de,562152
tout au long de,562093
en même temps que,557970
de la part de,550523
il y en a,546519
au sein de la,544603
que l' on peut,532583
au milieu de la,528894
fur et à mesure,513447
la fin de l',512615
au cours de la,507946
à la suite de,507145
au fur et à,505809
sur le point de,496607
des droits de l',493600
il faut que je,491732
ouvert du lundi au,483500
président de la République,478791
dans le cadre d',478107
la question de la,476763
l' un d' eux,474842
un point de vue,464740
la porte de la,459784
ouvert tous les jours,459102
tout ce que je,455472
l' objet d' une,453733
tous les jours de,451162
il est vrai que,448176
je ne crois pas,447921
la Cour de cassation,442676
que tout le monde,433766
qui ne sont pas,433453
sous le nom de,432308
le long de la,424286
l' autre côté de,421262
dans un premier temps,421117
à partir de la,421046
je ne voulais pas,412765
à l' origine de,410717
mal à l' aise,409042
rien à voir avec,408438
l' histoire de la,405842
la plupart du temps,403581
de la même manière,401327
ce que tu as,397945
au sein de l',397742
était en train de,396844
dans le domaine de,396732
au bord de la,394037
l' un de ses,393833
je ne l' ai,393689
de la même façon,393113
à l' aide d',389348
la salle de bains,388328
à la recherche de,386222
est en train de,384647
par rapport à la,382815
il y a eu,382779
je ne comprends pas,381958
à l' aide de,379304
dans le cas de,379090
je ne vois pas,377949
dans la salle de,376375
point de vue de,376283
de temps à autre,374298
au bout d' un,374050
je ne savais pas,372927
mais il y a,372628
le cadre de la,370978
à cause de la,367230
en d' autres termes,366979
autre côté de la,366866
il y a quelques,360861
la première fois que,359733
de la jeune femme,359626
nous ne sommes pas,359469
eu le temps de,359448
à l' égard des,357994
la fin des années,357470
pas tout à fait,357186
pas le temps de,355518
il y a de,348400
de ne pas avoir,345243
de la mise en,344607
un grand nombre de,340217
de l' Union européenne,338721
de l ' homme,338184
d' un point de,338013
il d' une voix,337252
dans la plupart des,333537
de l ' autre,333252
sous la direction de,332690
du lundi au vendredi,330656
jeta un coup d',329775
du XIX e siècle,329645
du lundi au samedi,328348
il y avait un,328222
il est possible de,327637
ce que tu veux,327302
"en effet , la",326612
au niveau de la,322145
dans tous les cas,321495
ce que je veux,321122
au moment de la,321061
"en effet , le",320919
ce qui concerne les,315556
tout ce qui est,315154
au cœur de la,313910
l ' un des,312843
l' intérieur de la,312590
il y avait une,312065
que l' on a,309409
de la part des,309393
comme nous l' avons,309189
ce qui se passait,308996
l' impression d' être,308908
le reste de la,308033
ce ne sont pas,307905
je ne pouvais pas,307797
dans le cadre du,307750
tu ne peux pas,307190
la Seconde Guerre mondiale,307113
que l' on ne,306061
la raison pour laquelle,304567
l' un des plus,304140
à l' idée de,304010
il y a deux,301234
il y avait des,300204
à l' occasion de,299941
je ne pense pas,299870
ce point de vue,298755
l' un et l',298103
en fonction de la,298040
l' ensemble de la,297968
ce que vous avez,297751
la porte d' entrée,297533
de tout ce qui,297104
au cours de l',296586
un et l' autre,296215
la question de l',295679
un peu plus loin,295534
"en effet , les",294943
je ne vais pas,292678
à l' intérieur du,292653
"plus tard , il",292367
Ouvert toute l' année,292316
au début des années,292000
ouvert du mardi au,291058
une partie de la,290081
coup d' œil à,289682
un clin d' œil,288766
en raison de la,288350
la salle à manger,288311
la prise en charge,287953
de ne pas être,287754
dans le même temps,286486
à l' âge de,286126
il se mit à,285876
d' un coup de,285343
l' histoire de l',284678
à l' autre bout,284059
part et d' autre,283704
je vous en prie,283528
de part et d',282511
à côté de la,282126
mise en œuvre de,281975
l' un de l',281724
un de l' autre,280507
l' objet d' un,277248
en l' absence de,277003
le domaine de la,276843
de ce qui est,275407
ne l' avait pas,274809
fait l' objet d',274617
et se mit à,274254
le cadre d' une,274242
dans le but de,274214
pour ce qui est,273417
à la recherche d',273193
ne sont pas des,272928
au fond de la,272482
à propos de la,272227
est à la fois,270185
je crois que je,269211
à la tête de,269008
"non , je ne",268146
elle d' une voix,267634
en train de se,267269
de la loi du,266981
à côté de lui,266492
sous la forme d',266440
il y a aussi,266390
d' autant plus que,265768
il me semble que,265271
un peu plus de,264432
que je ne suis,263251
à la fin des,257799
l' existence d' un,256650
à la suite d',256596
de la ville de,256141
ne sais pas si,254776
ne peut pas être,253981
du mardi au samedi,252573
de l' ordre de,252342
au bout de quelques,251604
lundi au vendredi de,250580
de l ' État,249942
à la mise en,249129
par rapport à l',248976
ils ne sont pas,248406
sur la base de,248010
lundi au samedi de,247882
ce qui concerne la,246236
de l' homme et,245296
ne doit pas être,245043
à tout le monde,244762
de moins en moins,243962
le sens de la,243718
le président de la,243685
le début de la,243008
si l ' on,242119
et je me suis,241492
que je me suis,241423
il y eut un,240884
au nom de la,239951
quel que soit le,239635
pas le droit de,239617
d' un autre côté,239159
